Month/Year,CO2 Emission
Jul/1997,153.022
Aug/1997,149.523
Sep/1997,141.952
Oct/1997,149.469
Nov/1997,142.892
Dec/1997,149.368
Jan/1998,144.658
Feb/1998,131.742
Mar/1998,147.41
Apr/1998,151.445
May/1998,148.087
Jun/1998,147.916
Jul/1998,156.498
Aug/1998,153.655
Sep/1998,146.782
Oct/1998,153.585
Nov/1998,145.581
Dec/1998,154.343
Jan/1999,144.707
Feb/1999,134.447
Mar/1999,152.607
Apr/1999,148.926
May/1999,154.708
Jun/1999,152.885
Jul/1999,157.498
Aug/1999,159.274
Sep/1999,148.566
Oct/1999,158.876
Nov/1999,149.733
Dec/1999,165.733
Jan/2000,146.201
Feb/2000,146.085
Mar/2000,155.354
Apr/2000,152.263
May/2000,158.52
Jun/2000,157.023
Jul/2000,162.879
Aug/2000,164.484
Sep/2000,153.129
Oct/2000,161.534
Nov/2000,152.833
Dec/2000,161.74
Jan/2001,150.547
Feb/2001,139.579
Mar/2001,157.025
Apr/2001,153.091
May/2001,160.005
Jun/2001,154.542
Jul/2001,164.193
Aug/2001,161.735
Sep/2001,149.5
Oct/2001,158.846
Nov/2001,150.345
Dec/2001,152.096
Jan/2002,152.348
Feb/2002,140.487
Mar/2002,158.831
Apr/2002,156.497
May/2002,162.441
Jun/2002,159.589
Jul/2002,164.205
Aug/2002,165.522
Sep/2002,152.946
Oct/2002,159.745
Nov/2002,156.984
Dec/2002,162.608
Jan/2003,151.486
Feb/2003,141.777
Mar/2003,157.913
Apr/2003,154.787
May/2003,160.096
Jun/2003,156.997
Jul/2003,163.592
Aug/2003,168.581
Sep/2003,155.153
Oct/2003,163.515
Nov/2003,156.837
Dec/2003,162.666
Jan/2004,157.164
Feb/2004,153.163
Mar/2004,164.533
Apr/2004,161.221
May/2004,165.486
Jun/2004,163.378
Jul/2004,169.78
Aug/2004,169.555
Sep/2004,160.535
Oct/2004,168.76
Nov/2004,162.127
Dec/2004,166.619
Jan/2005,161.372
Feb/2005,150.283
Mar/2005,167.523
Apr/2005,163.376
May/2005,171.07
Jun/2005,165.419
Jul/2005,172.746
Aug/2005,174.577
Sep/2005,161.38
Oct/2005,168.184
Nov/2005,163.948
Dec/2005,170.869
Jan/2006,166.278
Feb/2006,151.188
Mar/2006,170.908
Apr/2006,165.898
May/2006,171.87
Jun/2006,169.082
Jul/2006,176.748
Aug/2006,177.697
Sep/2006,164.496
Oct/2006,172.139
Nov/2006,163.188
Dec/2006,172.368
Jan/2007,166.539
Feb/2007,153.849
Mar/2007,170.15
Apr/2007,167.807
May/2007,175.933
Jun/2007,172.103
Jul/2007,178.716
Aug/2007,179.659
Sep/2007,166.603
Oct/2007,172.3
Nov/2007,166.54
Dec/2007,169.311
Jan/2008,160.708
Feb/2008,149.153
Mar/2008,164.511
Apr/2008,162.429
May/2008,168.608
Jun/2008,160.98
Jul/2008,166.711
Aug/2008,165.544
Sep/2008,149.45
Oct/2008,163.373
Nov/2008,153.346
Dec/2008,158.827
Jan/2009,154.714
Feb/2009,139.937
