Monthly Date,CO2 Emission
1997-02-01,131.825
1997-03-01,145.337
1997-04-01,146.006
1997-05-01,149.482
1997-06-01,145.099
1997-07-01,153.022
1997-08-01,149.523
1997-09-01,141.952
1997-10-01,149.469
1997-11-01,142.892
1997-12-01,149.368
1998-01-01,144.658
1998-02-01,131.742
1998-03-01,147.41
1998-04-01,151.445
1998-05-01,148.087
1998-06-01,147.916
1998-07-01,156.498
1998-08-01,153.655
1998-09-01,146.782
1998-10-01,153.585
1998-11-01,145.581
1998-12-01,154.343
1999-01-01,144.707
1999-02-01,134.447
1999-03-01,152.607
1999-04-01,148.926
1999-05-01,154.708
1999-06-01,152.885
1999-07-01,157.498
1999-08-01,159.274
1999-09-01,148.566
1999-10-01,158.876
1999-11-01,149.733
1999-12-01,165.733
2000-01-01,146.201
2000-02-01,146.085
2000-03-01,155.354
2000-04-01,152.263
2000-05-01,158.52
2000-06-01,157.023
2000-07-01,162.879
2000-08-01,164.484
2000-09-01,153.129
2000-10-01,161.534
2000-11-01,152.833
2000-12-01,161.74
2001-01-01,150.547
2001-02-01,139.579
2001-03-01,157.025
2001-04-01,153.091
2001-05-01,160.005
2001-06-01,154.542
2001-07-01,164.193
2001-08-01,161.735
2001-09-01,149.5
2001-10-01,158.846
2001-11-01,150.345
2001-12-01,152.096
2002-01-01,152.348
2002-02-01,140.487
2002-03-01,158.831
2002-04-01,156.497
2002-05-01,162.441
2002-06-01,159.589
2002-07-01,164.205
2002-08-01,165.522
2002-09-01,152.946
2002-10-01,159.745
2002-11-01,156.984
2002-12-01,162.608
2003-01-01,151.486
2003-02-01,141.777
2003-03-01,157.913
2003-04-01,154.787
2003-05-01,160.096
2003-06-01,156.997
2003-07-01,163.592
2003-08-01,168.581
2003-09-01,155.153
2003-10-01,163.515
2003-11-01,156.837
2003-12-01,162.666
2004-01-01,157.164
2004-02-01,153.163
2004-03-01,164.533
2004-04-01,161.221
2004-05-01,165.486
2004-06-01,163.378
2004-07-01,169.78
2004-08-01,169.555
